radacctid,acctsessionid,acctuniqueid,realm,nasportid,nasporttype,acctstarttime,acctupdatetime,acctstoptime,acctinterval,acctsessiontime,acctauthentic,connectinfo_start,connectinfo_stop,acctinputoctets,acctoutputoctets,calledstationid,callingstationid,acctterminatecause,servicetype,framedprotocol,framedipv6address,framedipv6prefix,framedinterfaceid,delegatedipv6prefix,created_at
1000008,00274C62,2c340256cf5a9471eaed3f176706928d,,Uniq-Sess-ID125,Virtual,2020-08-17 00:25:00,2020-08-20 00:34:00,2020-08-20 17:10:00,86581,319498,RADIUS,1410065408,1410065408,4156539204,41689343028,,,User-Request,Framed-User,PPP,,,,,2025-11-23 15:14:29
1000008,00274C62,2c340256cf5a9471eaed3f176706928d,,Uniq-Sess-ID125,Virtual,2020-08-17 00:25:00,2020-08-20 00:34:00,2020-08-20 17:10:00,86581,319498,RADIUS,1410065408,1410065408,4156539204,41689343028,,,User-Request,Framed-User,PPP,,,,,2025-11-23 15:14:29
