radacctid,acctsessionid,acctuniqueid,realm,nasportid,nasporttype,acctstarttime,acctupdatetime,acctstoptime,acctinterval,acctsessiontime,acctauthentic,connectinfo_start,connectinfo_stop,acctinputoctets,acctoutputoctets,calledstationid,callingstationid,acctterminatecause,servicetype,framedprotocol,framedipv6address,framedipv6prefix,framedinterfaceid,delegatedipv6prefix,created_at
1000008,00274C62,2c340256cf5a9471eaed3f176706928d,,Uniq-Sess-ID125,Virtual,2020-08-17 00:25:00,2020-08-20 00:34:00,2020-08-20 17:10:00,86581,319498,RADIUS,1410065408,1410065408,4156539204,41689343028,,,User-Request,Framed-User,PPP,,,,,2025-12-02 14:47:54
1000099,00274DE0,608ab2ff3b637e7d7dbb6e1bc9f60291,,Uniq-Sess-ID100,ISDN,2020-08-17 00:30:00,2020-08-17 00:30:00,2020-08-17 21:00:00,0,73808,RADIUS,1000000000,1000000000,359895098,5165531668,,97042435598,Port-Error,Framed-User,PPP,,,,,2025-12-02 14:47:58
1000097,00274DD9,72fe6dfc5d7adfd7a5da2563333cccaf,,Uniq-Sess-ID103,Virtual,2020-08-17 00:29:00,2020-08-17 00:29:00,2020-08-17 00:46:00,0,971,RADIUS,1410065408,1410065408,2289692,101419011,,,Port-Error,Framed-User,PPP,,,,,2025-12-02 14:47:57
1000095,00274DCF,4972b4085cc5ee5d108e0fef9101688e,,Uniq-Sess-ID156,ISDN,2020-08-17 00:29:00,2020-08-19 00:35:00,2020-08-19 02:57:00,86580,181680,RADIUS,1000000000,1000000000,4243367798,51021468375,,97042455524,Port-Error,Framed-User,PPP,,,,,2025-12-02 14:47:57
1000093,00274DC6,d8367aef839cf118b712271870d44cce,,Uniq-Sess-ID731,Virtual,2020-08-17 00:29:00,2020-08-17 00:29:00,2020-08-17 00:31:00,0,80,RADIUS,1410065408,1410065408,487,725,,,Port-Error,Framed-User,PPP,,,,,2025-12-02 14:47:57
