radacctid,acctsessionid,acctuniqueid,realm,nasportid,nasporttype,acctstarttime,acctupdatetime,acctstoptime,acctinterval,acctsessiontime,acctauthentic,connectinfo_start,connectinfo_stop,acctinputoctets,acctoutputoctets,calledstationid,callingstationid,acctterminatecause,servicetype,framedprotocol,framedipv6address,framedipv6prefix,framedinterfaceid,delegatedipv6prefix,created_at
45033,34394,223fec899e0eb04429344d1b3acdaa92,,Uniq-Sess-ID302,Virtual,2020-07-24 12:54:00,2020-07-24 12:54:00,2020-07-24 12:54:00,0,0,Local,,,0,0,,,Service-Unavailable,Framed-User,,,,,,2025-12-01 15:13:32
45032,34392,a88649c4ecd14072c2565e7dbc475ba9,,Uniq-Sess-ID157,Virtual,2020-07-24 12:54:00,2020-07-24 12:54:00,2020-07-24 12:54:00,0,0,Local,,,0,0,,,Service-Unavailable,Framed-User,,,,,,2025-12-01 15:13:32
45031,0003438C,4ddeab3ac8461dd1eaa583a5d37a508f,,Uniq-Sess-ID126,Virtual,2020-07-24 12:54:00,2020-07-24 12:54:00,2020-07-24 12:54:00,0,0,Local,,,0,0,,97022296537,Service-Unavailable,Framed-User,,,,,,2025-12-01 15:13:32
45030,34389,cbc4a1159c11c045bab9746101d5a7aa,,Uniq-Sess-ID133,Virtual,2020-07-24 12:54:00,2020-07-24 12:54:00,2020-07-24 12:54:00,0,0,Local,,,0,0,,97022296537,Service-Unavailable,Framed-User,,,,,,2025-12-01 15:13:32
45029,34385,66e0b92d664407345cf216a4c27aefb3,,Uniq-Sess-ID559,Virtual,2020-07-24 12:54:00,2020-07-24 12:54:00,2020-07-24 12:54:00,0,0,Local,,,0,0,,97022296537,Service-Unavailable,Framed-User,,,,,,2025-12-01 15:13:32
