radacctid,acctsessionid,acctuniqueid,realm,nasportid,nasporttype,acctstarttime,acctupdatetime,acctstoptime,acctinterval,acctsessiontime,acctauthentic,connectinfo_start,connectinfo_stop,acctinputoctets,acctoutputoctets,calledstationid,callingstationid,acctterminatecause,servicetype,framedprotocol,framedipv6address,framedipv6prefix,framedinterfaceid,delegatedipv6prefix,created_at
1000095,00274DCF,4972b4085cc5ee5d108e0fef9101688e,,Uniq-Sess-ID156,ISDN,2020-08-17 00:29:00,2020-08-19 00:35:00,2020-08-19 02:57:00,86580,181680,RADIUS,1000000000,1000000000,4243367798,51021468375,,97042455524,Port-Error,Framed-User,PPP,,,,,2025-11-23 15:14:32
1000095,00274DCF,4972b4085cc5ee5d108e0fef9101688e,,Uniq-Sess-ID156,ISDN,2020-08-17 00:29:00,2020-08-19 00:35:00,2020-08-19 02:57:00,86580,181680,RADIUS,1000000000,1000000000,4243367798,51021468375,,97042455524,Port-Error,Framed-User,PPP,,,,,2025-11-23 15:14:32
