radacctid,acctsessionid,acctuniqueid,realm,nasportid,nasporttype,acctstarttime,acctupdatetime,acctstoptime,acctinterval,acctsessiontime,acctauthentic,connectinfo_start,connectinfo_stop,acctinputoctets,acctoutputoctets,calledstationid,callingstationid,acctterminatecause,servicetype,framedprotocol,framedipv6address,framedipv6prefix,framedinterfaceid,delegatedipv6prefix
1391,1844,452ab245ffe5859cbb5994bde18eb48b,,Uniq-Sess-ID818,Virtual,2020-07-19 18:13:00,2020-07-19 18:13:00,2020-07-19 18:31:00,0,1098,RADIUS,1410065408,1410065408,19918600,273729793,,,Host-Request,Framed-User,PPP,,,,
1392,1848,2f8965b0fc0808af50aa023b8e8cbd83,,Uniq-Sess-ID743,Virtual,2020-07-19 18:13:00,2020-07-19 18:13:00,2020-07-20 09:51:00,0,56290,RADIUS,1410065408,1410065408,428701174,9747273181,,,Port-Error,Framed-User,PPP,,,,
1393,1857,f59653508d09540f28a8b9cf2cf1463b,,Uniq-Sess-ID245,Virtual,2020-07-19 18:13:00,2020-07-19 18:13:00,2020-07-19 18:35:00,0,1333,RADIUS,1410065408,1410065408,5678614,118066399,,,Port-Error,Framed-User,PPP,,,,
1389,1838,68b4a227073f47cae25a12915e609fdd,,Uniq-Sess-ID480,Virtual,2020-07-19 18:12:00,2020-07-19 18:12:00,2020-07-19 20:26:00,0,8013,RADIUS,1410065408,1410065408,125737746,1514072942,,,Port-Error,Framed-User,PPP,,,,
1390,1840,bfc23c9d04cb947d84d4ef67589282a3,,Uniq-Sess-ID816,Virtual,2020-07-19 18:12:00,2020-07-19 18:12:00,2020-07-19 18:15:00,1,130,RADIUS,1410065408,1410065408,6042,3452,,,Host-Request,Framed-User,PPP,,,,
